Year,GDP,ARIMAF,Lower,Upper
1970,637976080854.0,0.0,0.0,0.0
1971,724266897066.0,788460106942.6702,709614096248.4032,867306117636.9373
1972,873936884776.0,643400870739.0245,579060783665.1221,707740957812.927
1973,1134325814453.0,975632774841.3635,878069497357.2272,1073196052325.5
1974,1285878283181.0,1139769543650.46,1025792589285.414,1253746498015.506
1975,1493975444589.0,1328716607990.9314,1195844947191.8384,1461588268790.0247
1976,1558770195965.0,1527474110955.2014,1374726699859.6814,1680221522050.7217
1977,1771505277323.0,1554492112286.6792,1399042901058.0112,1709941323515.3472
1978,2170271189743.0,1841434433625.5989,1657290990263.039,2025577876988.159
1979,2628241801137.0,2244263938751.679,2019837544876.5112,2468690332626.847
1980,2942175001616.0,2717952533008.753,2446157279707.878,2989747786309.6284
1981,2558130327484.0,2975046275026.3423,2677541647523.708,3272550902528.9766
1982,2475971086143.0,2413064180471.2515,2171757762424.1265,2654370598518.377
1983,2415660875601.0,2556743336132.066,2301069002518.8594,2812417669745.273
1984,2317446505445.0,2337292340658.3804,2103563106592.5425,2571021574724.2188
1985,2381001972113.0,2344132733802.5283,2109719460422.2756,2578546007182.7812
1986,3343588519150.0,2381396477906.361,2143256830115.7249,2619536125696.997
1987,4133772642688.0,3646409652846.21,3281768687561.589,4011050618130.831
1988,4544178702811.0,4159976012774.56,3743978411497.104,4575973614052.017
1989,4647983485688.0,4654149916221.446,4188734924599.302,5119564907843.592
1990,5906235183267.0,4599824934168.093,4139842440751.2837,5059807427584.902
1991,6134002565558.0,6337857471551.192,5704071724396.073,6971643218706.3125
1992,6747284436682.0,5888414853411.03,5299573368069.928,6477256338752.134
1993,6166917841620.0,7120950316834.434,6408855285150.99,7833045348517.878
1994,6519941169144.0,5709459064397.309,5138513157957.578,6280404970837.04
1995,7518720993811.0,6967411529846.009,6270670376861.408,7664152682830.61
1996,7612904730323.0,7504271192431.173,6753844073188.056,8254698311674.291
1997,6949616127344.0,7653185713966.147,6887867142569.533,8418504285362.763
1998,7148883205588.0,6711136237867.119,6040022614080.407,7382249861653.832
1999,7109560644733.0,7386952150633.314,6648256935569.983,8125647365696.646
2000,6471217709592.0,6922159710604.081,6229943739543.673,7614375681664.49
2001,6591061072511.0,6407975412939.806,5767177871645.825,7048772954233.787
2002,7161908436845.0,6675292391594.694,6007763152435.225,7342821630754.164
2003,8841164251181.0,7279742664551.257,6551768398096.131,8007716931006.383
2004,10147694477632.0,9283328495190.195,8354995645671.176,10211661344709.215
2005,10529478871284.0,10234054917733.0,9210649425959.701,11257460409506.3
2006,11180121523970.0,10586212668403.227,9527591401562.904,11644833935243.55
2007,12872139993418.0,11343298013269.076,10208968211942.168,12477627814595.984
2008,14126881442427.0,13284989397638.809,11956490457874.928,14613488337402.691
2009,12912400424054.0,14218484853653.21,12796636368287.89,15640333339018.533
2010,12647259733068.0,12462622078042.908,11216359870238.617,13708884285847.2
2011,13637263953285.0,12894426352163.758,11604983716947.383,14183868987380.135
2012,12656624498248.0,13767305759327.96,12390575183395.166,15144036335260.758
2013,13214627769312.0,12252223631383.738,11027001268245.365,13477445994522.113
2014,13510792508047.0,13687639558572.457,12318875602715.21,15056403514429.703
2015,11705356741420.0,13256314976290.973,11930683478661.875,14581946473920.07
2016,11991516461779.0,11323913413903.676,10191522072513.309,12456304755294.045
2017,12701546701485.0,12362048350577.973,11125843515520.176,13598253185635.771
2018,13714329006369.0,12652732767803.322,11387459491022.99,13918006044583.656
2019,13441748307935.0,14069136168122.35,12662222551310.115,15476049784934.586
2020,13117252915341.0,13095074204255.137,11785566783829.623,14404581624680.652
2021,14596717166374.0,13269931008784.746,11942937907906.271,14596924109663.223
2022,,14950352064655.395,13455316858189.855,16445387271120.936
2023,,14801732599981.316,13321559339983.186,16281905859979.45
2024,,14864191778606.934,13377772600746.24,16350610956467.629
2025,,14837942531893.914,13354148278704.523,16321736785083.307
2026,,14848974104325.102,13364076693892.592,16333871514757.613
