ds,y,yhat,Lower,Upper
1970,637976080854.0,323579445248.0,291221500723.2,355937389772.80005
1971,724266897066.0,731476918272.0,658329226444.8,804624610099.2001
1972,873936884776.0,1135460483072.0,1021914434764.8,1249006531379.2002
1973,1134325814453.0,1037785169920.0,934006652928.0,1141563686912.0
1974,1285878283181.0,1400980635648.0,1260882572083.2,1541078699212.8
1975,1493975444589.0,1760286081024.0,1584257472921.6,1936314689126.4001
1976,1558770195965.0,1984067272704.0,1785660545433.6,2182473999974.4001
1977,1771505277323.0,1683255721984.0,1514930149785.6,1851581294182.4001
1978,2170271189743.0,1892445061120.0,1703200555008.0,2081689567232.0002
1979,2628241801137.0,2206527389696.0,1985874650726.4001,2427180128665.6
1980,2942175001616.0,2516696432640.0,2265026789376.0,2768366075904.0
1981,2558130327484.0,2285778763776.0,2057200887398.4001,2514356640153.6
1982,2475971086143.0,2494407639040.0,2244966875136.0,2743848402944.0
1983,2415660875601.0,2699144724480.0,2429230252032.0,2969059196928.0
1984,2317446505445.0,3064260460544.0,2757834414489.6,3370686506598.4004
1985,2381001972113.0,2962833276928.0,2666549949235.2,3259116604620.8003
1986,3343588519150.0,3407435792384.0,3066692213145.6,3748179371622.4004
1987,4133772642688.0,3982331215872.0,3584098094284.8003,4380564337459.2
1988,4544178702811.0,4553313878016.0,4097982490214.4,5008645265817.601
1989,4647983485688.0,4732082978816.0,4258874680934.4,5205291276697.601
1990,5906235183267.0,5445004558336.0,4900504102502.4,5989505014169.601
1991,6134002565558.0,6132082933760.0,5518874640384.0,6745291227136.001
1992,6747284436682.0,6429947199488.0,5786952479539.2,7072941919436.801
1993,6166917841620.0,6244460396544.0,5620014356889.601,6868906436198.4
1994,6519941169144.0,6454773809152.0,5809296428236.8,7100251190067.2
1995,7518720993811.0,6538177544192.0,5884359789772.8,7191995298611.2
1996,7612904730323.0,6617666945024.0,5955900250521.601,7279433639526.4
1997,6949616127344.0,6556126543872.0,5900513889484.8,7211739198259.2
1998,7148883205588.0,7061909798912.0,6355718819020.8,7768100778803.2
1999,7109560644733.0,7563801788416.0,6807421609574.4,8320181967257.601
2000,6471217709592.0,8061778919424.0,7255601027481.601,8867956811366.4
2001,6591061072511.0,8076954435584.0,7269258992025.601,8884649879142.4
2002,7161908436845.0,8582737690624.0,7724463921561.601,9441011459686.4
2003,8841164251181.0,9084628631552.0,8176165768396.8,9993091494707.201
2004,10147694477632.0,9582604713984.0,8624344242585.601,10540865185382.4
2005,10529478871284.0,9597780754432.0,8638002678988.8,10557558829875.201
2006,11180121523970.0,10103563485184.0,9093207136665.6,11113919833702.4
2007,12872139993418.0,10605453901824.0,9544908511641.6,11665999292006.4
2008,14126881442427.0,11103433129984.0,9993089816985.6,12213776442982.4
2009,12912400424054.0,11118609170432.0,10006748253388.8,12230470087475.201
2010,12647259733068.0,11624390852608.0,10461951767347.201,12786829937868.8
2011,13637263953285.0,12126282317824.0,10913654086041.6,13338910549606.4
2012,12656624498248.0,12624258400256.0,11361832560230.4,13886684240281.602
2013,13214627769312.0,12639436537856.0,11375492884070.4,13903380191641.602
2014,13510792508047.0,13145219268608.0,11830697341747.201,14459741195468.8
2015,11705356741420.0,13647109685248.0,12282398716723.201,15011820653772.8
2016,11991516461779.0,14145088913408.0,12730580022067.201,15559597804748.8
2017,12701546701485.0,14160262856704.0,12744236571033.6,15576289142374.4
2018,13714329006369.0,14666046636032.0,13199441972428.8,16132651299635.201
2019,13441748307935.0,15167937052672.0,13651143347404.8,16684730757939.201
2020,13117252915341.0,15665914183680.0,14099322765312.0,17232505602048.002
2021,14596717166374.0,15681090224128.0,14112981201715.201,17249199246540.8
2022,,16186871906304.0,14568184715673.6,17805559096934.402
2023,,16688765468672.0,15019888921804.8,18357642015539.203
2024,,17186742599680.0,15468068339712.0,18905416859648.0
